,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,barcode,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin C (Ascorbic acid),Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin E (Tocopherol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Phosphorus,Magnesium,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids,Sulfate,Nitrate,Silica
0,11.0,387.0,93.0,4.5,1.0,1.5,0.93,0.5,0.5,7613269763604,M Budget Kartoffelsalat,,525.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67.0,1760.0,417.0,11.0,2.5,11.0,3.0,7.0,5.0,7613269300748,Migros Subito Hot Snack Cheesy,,70.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,57.0,1162.0,274.0,1.6,,1.4,0.03,0.3,53.0,4008258403020,"Seeberger Dried apple rings dried, sulphited",,80.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,5014328091812,Tetley Extra Earl Grey ,,50.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,7610491923066,Morga Pflaumen ensteint,,275.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,45.1,1609.0,384.0,18.5,2.1,8.3,0.34,9.6,20.5,8076809524292,Barilla MULINO BIANCO Flauti Latte,,280.0,g,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.8,284.0,68.0,2.7,1.1,2.5,0.33,1.0,0.9,7613033314711,Nestle Gartengemüse Kalb,,220.0,g,,0.07,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,48.0,1270.0,304.0,8.0,,9.0,,,,7611654188469,Coop Fait Maison Butterzopf,,700.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,41.8,1741.0,417.0,21.0,9.5,8.7,0.07,14.0,31.5,7640155340045,Rhythm 108 coconut macaroon,,42.0,g,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,0580139003955,Poitrine dinde fumé,,188.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,60.0,920.0,234.0,0.0,7.0,3.0,,0.0,37.0,7610845592122,Coop Qualité & Prix Aprikosen süss getrocknet,,250.0,g,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.0,70.0,16.0,0.5,0.0,0.0,0.75,0.0,4.0,7613269303282,SARASAY Tomate,,250.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,76129582,Feldschlösschen Bügel ,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,7622210496287,Toblerone,,360.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,80809180,Nutella,,25.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,8008910806769,Delser Crackers Natural Leavening,,200.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,55.0,1425.0,338.0,8.8,1.0,9.2,1.0,1.4,12.0,9005300010996,,,480.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,7610029181883,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
