,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,id,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin C (Ascorbic acid),Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin E (Tocopherol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Phosphorus,Magnesium,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids,Sulfate,Nitrate,Silica
0,11.0,387.0,93.0,4.5,1.0,1.5,0.93,0.5,0.5,13218,M Budget Kartoffelsalat,,525.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67.0,1760.0,417.0,11.0,2.5,11.0,3.0,7.0,5.0,11939,Migros Subito Hot Snack Cheesy,,70.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,57.0,1162.0,274.0,1.6,,1.4,0.03,0.3,53.0,5231,"Seeberger Dried apple rings dried, sulphited",,80.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,11747,Tetley Extra Earl Grey ,,50.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,3450,Morga Pflaumen ensteint,,275.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,45.1,1609.0,384.0,18.5,2.1,8.3,0.34,9.6,20.5,4327,Barilla MULINO BIANCO Flauti Latte,,280.0,g,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.8,284.0,68.0,2.7,1.1,2.5,0.33,1.0,0.9,13960,Nestle Gartengemüse Kalb,,220.0,g,,0.07,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,48.0,1270.0,304.0,8.0,,9.0,,,,7413,Coop Fait Maison Butterzopf,,700.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,20845,Poitrine dinde fumé,,188.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,60.0,920.0,234.0,0.0,7.0,3.0,,0.0,37.0,3472,Coop Qualité & Prix Aprikosen süss getrocknet,,250.0,g,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.0,70.0,16.0,0.5,0.0,0.0,0.75,0.0,4.0,21204,SARASAY Tomate,,250.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,21714,Feldschlösschen Bügel ,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,9541,LA VITE LUCENTE 2013 TENUTA LUCE DELLA VITE TOSCANA,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,45.0,2440.0,,41.0,4.5,7.0,0.14,,43.0,16529,,,,g,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,100.0,1700.0,407.0,0.0,,0.0,,,,1168,AARBERG: WurfelZucker,,1000.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,99.0,1663.0,397.0,0.0,0.0,0.0,0.0,0.0,99.0,15359,Migros Zuckerstange mit Pefferminzgeschmack,,28.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,,,,,,,,0.0,4593,LA ORGANIC ORIGINAL extra virgin olive oil,,500.0,g,,,2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8.4,2470.0,597.0,50.0,11.1,22.8,1.3,4.4,3.4,10957,Sun Snack Curry-Mandeln,,125.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7.0,119.0,28.0,0.0,0.0,0.0,0.01,0.0,7.0,1358,Migros Ice Tea mit Pfirsicharoma,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6.0,170.0,41.0,0.0,0.0,0.5,0.03,0.0,4.0,4639,Coop Qualité & Prix Rotweinessig mit Himbeersaft,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14.0,399.0,95.0,0.5,5.0,6.0,0.75,0.5,0.7,10070,M Classic Red Kidney Beans,,320.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17.0,460.0,110.0,3.0,,3.5,0.1,2.0,17.0,6389,Balko Yoplait Yogourt Balko Mocca,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,73.0,1516.0,357.0,1.0,,14.0,0.0,0.1,3.0,10506,Garofalo Radiatori La Pasta di Gragnano presso Napoli,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8.6,213.0,50.0,0.1,,3.7,0.13,0.1,7.6,18556,,,,ml,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,52.0,2200.0,527.0,31.0,8.0,6.0,0.01,18.0,48.0,11430, FREY SUPREME BOUQUET D' ORANGES,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,9648,Gérard Bertrand Naturae Chardonnay 2015,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
