,Unnamed: 0,Carbohydrates,Energy,Energy (kCal),Fat,Fiber,Protein,Salt,Saturated fat,Sugars,barcode,name,origins,quantity,unit,Calcium,Omega-3 fatty acids,Polyunsaturated fatty acids,Sodium,Monounsaturated fatty acids,Vitamin A,Vitamin E (Tocopherol),Vitamin C (Ascorbic acid),Magnesium,Iron,Selenium,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxin),Vitamin D (Cholacalciferol),Vitamin K,Zinco,Polyols,Fructose,Glucose,Lactose,Saccharose,Folic acid,Biotin,Phosphorus,Vitamin B12 (Cobalamin),Vitamin B5 (Panthothenic acid),Cholesterol,Iodine,Provitamin A (β-carotene),Omega-6 fatty acids
0,0,11.0,387.0,93.0,4.5,1.0,1.5,0.93,0.5,0.5,7613269763604,M Budget Kartoffelsalat,,525.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,67.0,1760.0,417.0,11.0,2.5,11.0,3.0,7.0,5.0,7613269300748,Migros Subito Hot Snack Cheesy,,70.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,5014328091812,Tetley Extra Earl Grey ,,50.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,7610491923066,Morga Pflaumen ensteint,,275.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,47.0,1920.0,459.0,27.0,2.5,6.0,0.3,12.0,34.0,7610800011354,coop Grossmutter's Schoggicake,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,48.0,1270.0,304.0,8.0,,9.0,,,,7611654188469,Coop Fait Maison Butterzopf,,700.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,41.8,1741.0,417.0,21.0,9.5,8.7,0.07,14.0,31.5,7640155340045,Rhythm 108 coconut macaroon,,42.0,g,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7.8,284.0,68.0,2.7,1.1,2.5,0.33,1.0,0.9,7613033314711,Nestle Gartengemüse Kalb,,,g,,0.07,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,60.0,920.0,234.0,0.0,7.0,3.0,,0.0,37.0,7610845592122,Coop Qualité & Prix Aprikosen süss getrocknet,,,g,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,57060248,,,14.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,8437002948153,,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,100.0,1700.0,407.0,0.0,,0.0,,,,7610278041105,AARBERG: WurfelZucker,,1000.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,3.0,1308.0,316.0,28.0,,13.0,2.0,14.0,1.0,3175360000100,,,,g,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,0.0,,,,,,,,0.0,8437005613027,LA ORGANIC ORIGINAL extra virgin olive oil,,500.0,g,,,2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,,,,,,8033501070052,Rico Maccario Tre Roveri Barbera D'Asti Superiore,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,8.4,2470.0,597.0,50.0,11.1,22.8,1.3,4.4,3.4,7610442292975,Sun Snack Curry-Mandeln,,125.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,7.0,119.0,28.0,0.0,0.0,0.0,0.01,0.0,7.0,7616800205113,Migros Ice Tea mit Pfirsicharoma,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,6.0,170.0,41.0,0.0,0.0,0.5,0.03,0.0,4.0,7613331098030,Coop Qualité & Prix Rotweinessig mit Himbeersaft,,500.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,49.0,2500.0,597.0,39.0,,9.0,0.01,16.0,40.0,7610008708506,,,400.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,14.0,399.0,95.0,0.5,5.0,6.0,0.75,0.5,0.7,7616800823508,M Classic Red Kidney Beans,,320.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,17.0,460.0,110.0,3.0,,3.5,0.1,2.0,17.0,7612464717146,Balko Yoplait Yogourt Balko Mocca,,150.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,73.0,1516.0,357.0,1.0,,14.0,0.0,0.1,3.0,8000139910265,Garofalo Radiatori La Pasta di Gragnano presso Napoli,,500.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,14.0,400.0,96.0,3.1,0.5,3.0,0.1,1.8,14.0,7613269539957,M-Budget Joghurt mit Vanille,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,52.0,2200.0,527.0,31.0,8.0,6.0,0.01,18.0,48.0,7616500904811, FREY SUPREME BOUQUET D' ORANGES,,100.0,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,,,,,,,,,,3514120106360,Gérard Bertrand Naturae Chardonnay 2015,,750.0,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,99.0,1663.0,397.0,0.0,0.0,0.0,0.0,0.0,99.0,0030800009736,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
