,Carbohydrates,Energy (kCal),Fat,Protein,barcode,ingredients,name
0,11.0,93.0,4.5,1.5,7613269763604,"['pommes de terre', 'eau', 'huile de colza', 'vinaigre de vin', 'oignons', 'moutarde', 'condiment en poudre', 'avec condiment issu du soja', 'sel de cuisine', 'ail', 'amidon de maïs modifié', 'fines herbes', 'épices', 'acidifiant', 'acide citrique', ""extraits d'épices"", 'sucre', 'antioxydant', 'disulfite de sodium']",M Budget Kartoffelsalat
1,67.0,417.0,11.0,11.0,7613269300748,"['pâtes à la semoule de blé dur 57', 'maltodextrine', 'huile de palme', 'fromage fondu en poudre 6', 'fromage', 'stabilisants', 'e 339', 'e 331', 'petit', 'lait en poudre', 'amidon de maïs modifié', 'fécule de pommes de terre', 'sel de cuisine iodé', 'extrait de levure', 'sucre', 'exhausteurs de goût', 'glutamate monosodique', 'oignons déshydratés', 'petit', 'lait en poudre', 'huile de colza', 'épices', 'arômes naturels', 'acidifiants', 'acide citrique']",Migros Subito Hot Snack Cheesy
2,,,,,5014328091812,"['thé noir', 'afrique', 'asie & amérique du sud', 'arômes']",Tetley Extra Earl Grey 
3,,,,,7610491923066,"['prunes dénoyautés', 'californie', 'conservateur', 'acide sorbique']",Morga Pflaumen ensteint
4,47.0,459.0,27.0,6.0,7610800011354,"['sucre', ""œuf entier d'élevage au sol"", 'beurre', 'farine blanche', 'froment', 'chocolat', 'cacao en pâte', 'sucre', 'beurre de cacao', 'émulsifiant', 'e322 de soja', 'arôme', 'noisettes', 'humectant', 'e422', 'cacao maigre en poudre', 'poudres à lever', 'e450', 'e500', 'amidon de froment', 'arôme']",coop Grossmutter's Schoggicake
5,48.0,304.0,8.0,9.0,7611654188469,"['farine de froment', 'eau', 'beurre', ""œuf d'élevage au sol"", 'levure', 'sel marin', 'germes de blé 1', 'lait écrémé en poudre', 'dextrose', 'lactose', 'gluten de froment', 'amidon de froment', ""farine de malt d'orge"", 'farine complète', 'froment', ""poudre d'acérola avec fécule de manioc"", 'améliorant de cuisson']",Coop Fait Maison Butterzopf
7,7.8,68.0,2.7,2.5,7613033314711,"['légumes', 'pommes de terre', 'choux', 'fleurs', 'carottes 7', 'oignons', 'eau', 'viande de veau', 'semoule de riz', 'demi', 'crème', 'huile de colza', 'huile de tournesol', 'sel iodé', 'persil', 'sans gluten']",Nestle Gartengemüse Kalb
8,60.0,234.0,0.0,3.0,7610845592122,"['abricots', 'conservateur', 'e 220', 'sulfite']",Coop Qualité & Prix Aprikosen süss getrocknet
11,100.0,407.0,0.0,0.0,7610278041105,['sucre de betteraves'],AARBERG: WurfelZucker
12,3.0,316.0,28.0,13.0,3175360000100,"['fromages', 'eau', 'fruits à coques', 'dont noix 7', 'beurre', 'lait', 'protéines de lait', 'lait écrémé en poudre', 'émulsifiants', 'e339', 'e452', 'sel', 'épaississants', 'carraghénanes', 'arôme', 'céleri', ""correcteur d'acidité"", 'acide lactique', 'produit fabrique sur ste quutiseaufs', 'possors']",
