,name,connected_component
173,MIGROS BRATBUTTER,1.0
2537,Migros Bio Schweizer Bratbutter,1.0
8082,Gourmet  Bratbutter,1.0
1405,Coop Qualité & Prix Orangensaft,2.0
6008,Coop naturaplan Orange Mandarine,2.0
888,coop Orangensaft,2.0
130,,3.0
1735,"coop Qualité & Prix Milch  standardisierte Vollmilch, 3.5% Milchfett",3.0
6121,freefrom Milch,3.0
6114,coop PRiX Garantie Standardisierte Vollmilch,3.0
6103,Coop Qualité & Prix Milch Family,3.0
5383,Creazioni d'Italia Fusilloni Napoletani,4.0
5419,CREAZIONI d'ITALIA RIGATONI NAPOLETANI,4.0
3379,Migros Léger HACKFLEISCH,5.0
8977,M Classic Rindshackfleisch MAXI,5.0
1997,Coop Naturaplan Bio Black Tiger Riesencrevetten,6.0
11614,coop naturaplan Black Tiger Crevetten,6.0
2231,La Mascota,7.0
4972,Sainte-Croix-du-Mont 2012 GRAND VIN DE BORDEAUX,7.0
7597,Barons de Rothschild Réserve Spéciale,7.0
1570,Coop Naturaplan bio Kakao,8.0
3238,coop naturaplan KAKAOPULVER bio,8.0
8716,,9.0
8800,Anna's Best Butter nut,9.0
8777,,9.0
8700,,9.0
10170,La Côte : Bel-Horizon,10.0
1959,Rubiette : Gamay de Romandie,10.0
14532,Terres De Truffes Terraventoux AOC Ventoux 2013,10.0
7628,,10.0
7334,"Cabernet Sauvignon & Syrah : Rouge, Pays d'Oc",10.0
6775,Le Souverain,10.0
7372,Chardonnay Pays d'Oc ,10.0
1449,Mont-sur-Rolle ROCHEBONNE VIN VAUDOIS,10.0
7430,La Sensuelle 2015 Chardonnay légrèment-doux,10.0
7432,Alta Sierra : Jumilla,10.0
7419,Mont-sur-Rolle ROCHEBONNE VIN VAUDOIS,10.0
7180,Monterio White Porto ,10.0
4898,Coop Naturaplan Bio Aceto Balsamico Di Modena IGP,11.0
4941,Coop Naturaplan Bio Condimento Bianco,11.0
4823,Naturaplan : Asceto Balsamico Di Modena,11.0
5234,Uncle Ben's KOCHBEUTEL JASMIN ,12.0
4000,Uncle Ben's Jasmin rice jasmine ,12.0
10901,"Migros M-Budget Trockenreis Parboiled, langkornreis",13.0
251,Mister Rice CAROLINA Langkornreis paraboiled,13.0
8437,M Classic Carolina Parboiled,13.0
5923,Coop : Freeform : Halbentrahmte Milch 1.5% Milchfett : Lactosefrei,14.0
12897,Coop : Qualité&Prix : Halbentrahmte Milch : 1.5% Milchfett,14.0
5969,Coop : Qualité&Prix : Drink : Halbentrahmte Milch 1.5% Milchfett : UHT,14.0
8286,Agnesi Gli Gnocchi Durum Wheat semolina Pasta,15.0
13567,Agnesi Gli Spaghettini N.2 Fine Quality Pasta,15.0
10771,Agnesi Penne Rigate N.19 Durum wheat semolina pasta,15.0
146,Agnesi Le Cravattine N.60 Fine Quality Pasta,15.0
8348,M Classic Carolina Reis,16.0
8075,Mister Rice Quick Rice,16.0
6520,Andros Blutorangensaft Direkt Gepresster Pasteurisierter,17.0
3399,Orangensaft,17.0
6542,Andros Orangensaft,17.0
6517,Andros 3 - Zitrusfruchtesaft,17.0
11920,Blutorangensaft,17.0
2663,Andros Orangensaft,17.0
8550,,18.0
8540,DEUZIO EXPRESSO INTENSO,18.0
1974,Migros Bio Aceto balsamico di Modena,19.0
921,,19.0
10351,Fattorie Giacobazzi Aceto Balsamico Di Modena IGP Invecchiato,19.0
9176,MIGROS BIO Condimento bianco,19.0
5653,Coop Qualité & Prix Pfefferminztee,20.0
4028,Coop Pfefferminztee,20.0
2839,aproz CRISTAL Natürliche Mineralwasser aus den Walliser Alpea,21.0
3841,Aproz Medium Natürliches Mineralwasser mit Wenig Kohlensäure,21.0
2528,Alwadi Eggplant Dip,22.0
1038, Delicius Sardellenpaste,22.0
2466,Coop Prix Garantie Fusilli,23.0
4330,Penne Rigate,23.0
5937,,23.0
5833,,23.0
5926,,23.0
5913,,23.0
